LocusName	Genome	Allele	Start Bp	End Bp	Contig
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1..500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1..500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1..500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1..500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1..500)	gb|CP003298	1	1	500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(501..1000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(501..1000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(501..1000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(501..1000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(501..1000)	gb|CP003298	1	501	1000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1001..1500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1001..1500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1001..1500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1001..1500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1001..1500)	gb|CP003298	1	1001	1500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
