	dbj|AP010959	dbj|AP010963	gb|AF074613	gb|CP001163	gb|CP003298
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1..500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(501..1000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1001..1500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1501..2000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(2001..2500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(2501..3000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(3001..3500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(3501..4000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(4001..4500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(4501..5000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(5001..5500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(5501..6000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(6001..6500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(6501..7000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(7001..7500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(7501..8000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(8001..8500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(8501..9000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(9001..9500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(9501..10000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(10001..10500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(10501..11000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(11001..11500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(11501..12000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(12001..12500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(12501..13000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(13001..13500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(13501..14000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(14001..14500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(14501..15000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(15001..15500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(15501..16000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(16001..16500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(16501..17000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(17001..17500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(17501..18000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(18001..18500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(18501..19000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(19001..19500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(19501..20000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(20001..20500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(20501..21000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(21001..21500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(21501..22000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(22001..22500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(22501..23000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(23001..23500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(23501..24000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(24001..24500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(24501..25000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(25001..25500)	0	0	0	0	1
